Number of Posts,Followers,Following,Label
3,75,133,0
0,592,349,0
0,64,121,0
0,7,2441,1
0,40,166,0
0,81,1543,1
0,0,77,1
0,112,760,0
5,16,1289,1
280,910,580,0
12,961,441,0
3,66,21,0
34,87,232,0
0,32,765,1
99,152,337,0
77,994,1046,0
0,217,435,0
0,66,131,0
2,328,420,0
13,139,27,0
0,7,17,0
0,44,222,0
0,0,143,0
11,327,3048,1
19,375,386,0
0,216,160,0
0,1,24,1
0,30,136,1
537,1433,1918,0
96,4962,239,0
145,376,316,0
13,1675,463,0
5,98,100,0
111,0,1760,1
11,764,371,0
0,25,92,0
16,64,299,0
126,290,893,0
4,244,462,0
9,3140,480,0
0,79,150,0
58,76,1223,1
16,460,449,0
98,375,1208,0
3,34,75,0
92,1169,740,0
8,99,159,0
0,958,4677,1
0,1593,158,0
0,0,16,1
2,156,7079,1
0,0,38,1
1,8,1576,1
2,146,284,0
0,22,7498,1
180,5163,1033,0
0,1,3744,1
6,418,513,0
7,150,173,0
37,791,451,0
52,168,78,0
7,2,262,0
3,95,2328,1
113,460,426,0
1,235,1697,1
219,1361,1234,0
53,455,2037,1
31,1226,751,0
0,6,119,1
0,82,669,1
128,631,1273,0
0,1,557,1
1,2,102,1
7,30,1288,1
0,8,183,1
16,13,548,1
312,2765,305,0
1,2,48,0
0,2,31,0
13,28,2856,1
372,11304,160,0
3,1157,1037,0
0,109,182,0
15,1041,122,0
0,686,616,0
0,4,89,0
12,982,207,0
116,1800,837,0
0,20,2232,1
11,133,881,0
0,98,157,0
79,197,291,0
0,3,121,1
21,309,251,0
33,963,2092,0
438,2,281,1
57,221,397,0
0,469,431,0
92,1934,666,0
15,86,359,0
0,2,117,0
17,1639,207,0
0,349,483,0
0,532,511,0
0,61,7382,1
0,7,84,0
2,408,287,0
24,404,475,0
66,47,285,0
0,19,31,0
3,74,71,0
27,138,1276,1
0,47,97,0
0,142,46,0
4,533,162,0
0,344,3006,1
0,159,101,0
3,103,67,0
0,27,511,0
54,60,229,0
0,77,236,0
33,439,952,0
0,50,55,0
0,172,735,0
0,21,971,0
4,35,39,0
1,436,1975,1
0,140,367,0
0,26,110,0
0,251,1957,1
66,215,708,0
0,92,199,0
0,463,1222,1
2,287,787,0
30,228,638,0
0,54,318,0
0,297,960,0
0,315,320,0
1,403,663,0
1,306,1800,1
0,106,275,0
0,177,624,0
6,213,148,0
1,122,170,0
18,199,355,0
0,94,334,0
0,45,52,0
10,410,613,0
0,93,261,0
3,491,220,0
3,378,577,0
0,285,271,0
0,0,26,0
0,610,47,0
136,828,724,0
0,13,48,0
0,35,532,1
0,136,94,0
0,1243,576,0
8,945,270,0
14,69,121,0
0,77,84,0
2,162,166,0
0,102,119,0
0,264,298,0
0,210,228,0
10,701,681,0
1,79,77,0
4,247,450,0
0,234,249,0
0,139,178,0
5,181,328,0
4,29,68,0
0,191,195,0
0,240,306,0
12,1674,823,0
2,27,39,0
0,4,11,0
0,238,639,0
0,127,212,0
0,212,369,0
1,138,96,0
12,207,234,0
0,207,325,0
28,258,316,0
0,43,20,0
1,667,518,0
42,592,103,0
6,122,203,0
6,198,127,0
0,166,440,0
1,137,31,0
4,137,172,0
13,269,1011,0
0,130,132,0
0,68,455,0
22,273,555,0
2,419,768,0
0,33,16,0
21,421,526,0
0,391,399,0
46,569,408,0
5,949,260,0
89,206,395,0
2,76,93,0
0,246,2136,1
70,152,192,0
0,168,176,0
0,220,223,0
0,49,57,0
0,254,278,0
0,104,155,0
0,518,500,0
0,141,116,0
11,120,1094,1
0,205,266,0
3,115,192,0
35,917,847,0
1,32,46,0
0,338,514,0
11,456,436,0
83,49,250,0
2,239,81,0
3,326,497,0
0,339,536,0
16,266,371,0
0,170,744,1
2,80,96,0
73,1669,1626,0
0,79,475,0
0,97,311,
0,304,369,0
2,106,96,0
46,807,730,0
4,179,265,0
0,32,103,0
10,801,647,0
6,61,120,0
0,38,97,0
0,305,334,0
33,859,659,0
1,31,209,0
0,221,263,0
2,224,256,0
251,35,3283,1
1,367,300,0
341,47,516,0
3,203,320,0
0,95,126,0
1,353,315,0
0,115,82,0
0,28,279,0
24,37,681,0
4,249,849,0
10,706,378,0
0,15,23,0
51,23,158,0
0,13,18,0
11,417,419,0
0,421,542,0
0,367,187,0
12,514,300,0
0,324,2492,1
0,238,316,0
4,32,34,0
0,2,3,1
4,167,539,0
0,306,375,0
0,769,575,0
5,197,697,0
6,74,155,0
36,140,259,0
97,1824,1275,0
41,28,29,0
4,205,116,0
1,325,229,0
3,198,294,0
0,310,590,0
0,0,186,1
0,3,272,1
6,556,717,0
0,1,23,1
0,44,44,0
1,572,564,0
0,198,180,0
1,50,57,0
0,49,228,1
14,312,179,0
4,65,68,0
184,2042,323,0
4,206,124,0
0,85,94,0
16,304,411,0
0,113,118,0
1,13,356,1
31,292,296,0
1,134,270,0
23,110,262,0
8,363,418,0
8,30,95,0
0,123,207,0
0,66,50,0
14,372,429,0
0,23,53,0
0,78,78,0
26,118,204,0
0,87,110,0
0,133,229,0
0,83,207,0
0,135,146,0
0,99,404,0
0,4,12,0
32,466,447,0
1,105,145,0
0,123,690,0
1,142,479,0
0,203,701,0
0,624,831,0
48,563,265,0
