Number of Posts,Followers,Following,Label,username_length,username_digits,username_special_chars,name_username_similarity,bio_length,bio_suspicious,follower_following_ratio
1.040572184731304,0.0988444247949076,-0.6184421994414522,0.0,0.3062185876246736,4,0,0,-0.4796043026452332,0,0.3991566059419326
-0.3828802143565936,-0.569450410041817,-0.8070621090984689,0.0,-0.3147331064464126,3,0,0,-0.6385298156005368,0,-0.1011920626007356
-0.4099935933868393,-0.5083491679996021,-0.6336534824783083,0.0,-0.0042572594108695,4,0,1,-0.8504304995409417,0,-0.2121056632120077
-0.4099935933868393,0.7556827767487169,1.465503576607846,0.0,-2.1775881886596715,0,0,0,-0.1617532767346259,0,-0.279883464383774
-0.3286534562961022,-0.7298411704026309,-0.9683017092891446,0.0,-0.6252089534819558,2,0,0,0.924237728459949,0,-0.1187464953651426
-0.4099935933868393,-0.8978695860187216,-1.1234567962650777,1.0,0.6166944346602168,3,0,1,-0.8504304995409417,0,-0.5585594193032177
-0.4099935933868393,-0.3441395800111498,-0.6975408712331044,0.0,-0.0042572594108695,0,0,0,-0.8504304995409417,0,0.0437619303435959
-0.2744266982356109,-0.8100365505830378,-0.2685826895937597,1.0,-0.3147331064464126,2,1,0,-0.3471663751824801,0,-0.5706466109424667
-0.3828802143565936,-0.90168841364636,-0.6853718448036193,1.0,-0.0042572594108695,3,0,0,-0.8504304995409417,0,-0.6275275127742269
0.2678408823693025,2.741473143120698,1.1734469423002074,0.0,1.8585978228023887,0,0,0,0.924237728459949,0,0.2325451822760053
-0.0710763555087684,0.4845460151863887,1.4077007010677929,0.0,0.6166944346602168,0,0,1,-0.8504304995409417,0,-0.3301947582614438
0.1187172977029512,1.6034625100844475,0.403756020635284,0.0,-0.9356848005174988,0,0,0,1.2950639253556575,0,0.2561261848230783
-0.3964369038717165,-0.7680294466790151,-0.8009775958837264,0.0,-1.556636494588585,2,2,0,0.1560977491759813,0,-0.4194341273013543
-0.4099935933868393,-0.3441395800111498,0.863136768348341,1.0,1.548121975766846,2,0,1,-0.8504304995409417,0,-0.4756520731548099
-0.3150967667809795,0.6411179479195641,0.4980659754637924,0.0,-1.246160647553042,5,0,0,-0.6385298156005368,0,-0.1143947363048399
3.5621164345441514,-0.569450410041817,1.2768836669508294,1.0,-0.3147331064464126,2,0,1,3.0962197388490984,0,-0.5524308402838914
