Number of Posts,Followers,Following,Label,follower_following_ratio
1.17613908,-0.790942412,2.116546491,1,-0.608922167
-0.287983388,2.661277763,0.528488542,1,0.536075222
-0.409993593,-0.535080961,-0.76142826,0,-0.114276585
-0.409993593,-0.901688414,0.774911327,1,-0.627527513
-0.152416493,-0.382327856,-0.23207561,0,-0.317967753
0.172944056,-0.416697305,-0.469371626,0,-0.238240941
-0.409993593,-0.871137793,1.492883886,1,-0.621185619
-0.396436904,-0.832949516,-0.937879143,1,-0.452678825
0.362737709,0.488364843,2.80713874,1,-0.434713488
-0.409993593,-0.748935309,0.364206685,1,-0.572242468
0.091603919,-0.05390868,2.201729676,1,-0.488715938
-0.125303114,0.274510496,-0.390272954,0,0.218774192
-0.342210146,-0.638189307,1.133897606,1,-0.564245618
-0.206643251,-0.642008135,-0.873991754,0,-0.117763344
-0.409993593,-0.87495662,-1.089991974,0,-0.397633868
-0.342210146,-0.389965512,1.316433003,1,-0.513713171
-0.409993593,-0.821493033,-1.062611664,0,-0.144750858
-0.138859803,0.228684564,-0.454160343,0,0.260061864
1.555726386,0.224865737,0.327699605,0,-0.209753641
-0.193086561,2.699466039,-0.624526713,0,3.110226059
-0.396436904,-0.695471722,2.104377464,1,-0.592753684
0.118717298,0.465451877,-0.07083601,0,0.066028034
2.233560862,0.904617054,2.566800468,1,-0.360790733
-0.409993593,0.675487397,-0.016075391,0,0.134072022
0.037377161,0.17140215,-0.174272735,0,-0.025663095
-0.206643251,-0.229574751,-0.758386003,0,0.306194368
-0.179529872,-0.011901576,-0.365934901,0,-0.007080958
-0.165973182,0.247778702,-0.031286674,0,-0.064942252
-0.409993593,-0.202842958,1.209954022,1,-0.465093007
2.342014378,0.564741395,2.32341994,1,-0.395823682
-0.409993593,-0.901688414,1.708884105,1,-0.627527513
-0.355766835,-0.760391791,-0.773597286,0,-0.423381956
0.227170814,-0.363233718,-0.673202818,0,-0.012052755
-0.23375663,0.014830217,3.190463073,1,-0.511614751
0.240727503,-0.431972615,-0.855738215,0,0.238092436
-0.409993593,-0.867318965,0.881390308,1,-0.618249294
3.019848854,1.702752028,2.262574808,1,-0.208682991
-0.409993593,0.114119735,-0.152976939,0,-0.06991314
